Dataset Title,PID,Findable,Accessible,Interoperable,Reusable,Total Score
VOC transcriptions v2 - GLOBALISE,hdl:10622/LVXSBW,,,,,API Error (404)
GLOBALISE - Namebooks of the Dutch East India Company  (1730-1794),hdl:10622/DITM0Z,,,,,API Error (404)
GLOBALISE - Early Modern Polities in the Dutch East India Company Archives (1600-1815),hdl:10622/SOS0KC,,,,,API Error (404)
GLOBALISE - Weights and Measures in the 18th-Century Indian Ocean World,hdl:10622/MDNVH5,,,,,API Error (404)
GLOBALISE Ground Truth for Handwritten Text and Layout Recognition,hdl:10622/QJZKZ2,,,,,API Error (404)
GLOBALISE Geographical Indices of the RGP General Missives,hdl:10622/75DURG,,,,,API Error (404)
GLOBALISE Laypa Baseline Model – August 2023,hdl:10622/VMSCBR,,,,,API Error (404)
GLOBALISE Laypa Region Model - August 2023,hdl:10622/DMAS2T,,,,,API Error (404)
GLOBALISE Thesaurus - Commodities,hdl:10622/YAWDOV,,,,,API Error (404)
GLOBALISE Loghi Handwritten Text Recognition Model – August 2023,hdl:10622/X2JZYY,,,,,API Error (404)
"VOC Prices in the Dutch-Asian Trade, 1608-1800",hdl:10622/PEKT40,,,,,API Error (404)
VOC transcriptions - GLOBALISE,hdl:10622/JCTCJ2,,,,,API Error (404)
Kerajaan2 Indonesia,hdl:10622/V3XJIR,,,,,API Error (404)
Overview of People in the TEPC Inventories (1673-1844),hdl:10622/XDI7DD,,,,,API Error (404)
GLOBALISE - Places in the Dutch East India Company Archives (1602-1799),hdl:10622/WYVERW,,,,,API Error (404)
GLOBALISE - Digitized Indexes of the Dutch East India Company OBP (1602-1799),hdl:10622/LVOQTG,,,,,API Error (404)
"GLOBALISE - Ethnicities, Religious Groups and Castes in the Archives of the Dutch East India Company (1602-1799)",hdl:10622/5LRS03,,,,,API Error (404)
GLOBALISE - VOC Document Segmentation Dataset,hdl:10622/XMCZLZ,,,,,API Error (404)
Japanese Individuals relevant to the Dutch East India Company Archives,hdl:10622/MMAYDK,,,,,API Error (404)
GLOBALISE - Non-Western people described in the General Missive footnotes,hdl:10622/DTQKI6,,,,,API Error (404)
GLOBALISE - VOC Census Records of Cochin (1700-1775),hdl:10622/OHM48J,,,,,API Error (404)
"Overzicht van Generale Missiven in het archief van de VOC, 1.04.02",hdl:10622/BHKMWE,,,,,API Error (404)
ESTA Database Locations,hdl:10622/IWJMHH,,,,,API Error (404)
